date,reef,season,blade,lightlevel_timepoint,wet_mass_,dry_mass_g,length_cm,width_cm,age_d,PAR,chlA_nmol_g,FX_nmol_g,chlA_g_g,NPP_umolC_g_hr,DOC_umolC_g_hr,tissue_C_percent,tissue_N_percent,C_N,Chl_C,growth_rate_hr,N_N_uM,a270_m_g_l_hr,flag,flag_note
5/7/24,MK,Spring,4,6,30.977,3.278,50,8,37,1191,408,254,0.00344,104,2.4,27.54,2.62,10.53,0.0125,0.005,,,1,
5/7/24,MK,Spring,5,6,25.984,2.365,44,9,37,1361,419,226,0.00411,172,6,26,2.56,10.14,0.0158,0.008,,,1,
5/7/24,MK,Spring,6,6,31.492,3.224,54,8,37,1153,310,190,0.00271,120,3.2,29.13,2.51,11.61,0.0093,0.005,,,1,
5/28/24,MK,Spring,1,1,17.532,3.088,,,58,0,285,161,0.00145,-20.1,0.8,33.51,3.73,8.99,0.0043,-0.001,,,1,
5/28/24,MK,Spring,2,1,11.898,1.409,,,58,0,340,166,0.00257,-21.4,3.3,24.1,2.4,10.06,0.0107,-0.001,,,1,
5/28/24,MK,Spring,3,1,17.931,2.086,,,58,0,378,180,0.0029,-28.8,1.1,23.08,2.21,10.46,0.0126,-0.001,,,1,
5/28/24,MK,Spring,4,2,20.452,3.04,,,58,52,410,235,0.00247,17.2,1.7,27.86,3.08,9.03,0.0089,0.001,,,1,
5/28/24,MK,Spring,5,2,11.098,1.246,,,58,62,333,164,0.00265,28.9,0.2,22.38,2.18,10.25,0.0118,0.002,,,1,
5/28/24,MK,Spring,6,2,11.601,1.19,,,58,50,251,142,0.00218,-15.4,19.2,22.21,2.1,10.56,0.0098,-0.001,,,1,
5/28/24,MK,Spring,1,3,17.532,3.088,,,58,121,285,161,0.00145,49.5,2.2,33.51,3.73,8.99,0.0043,0.002,,,1,
5/28/24,MK,Spring,2,3,11.898,1.409,,,58,113,340,166,0.00257,62.1,2.8,24.1,2.4,10.06,0.0107,0.003,,,1,
5/28/24,MK,Spring,3,3,17.931,2.086,,,58,87,378,180,0.0029,89.7,2.3,23.08,2.21,10.46,0.0126,0.005,,,1,
5/28/24,MK,Spring,4,4,20.452,3.04,,,58,300,410,235,0.00247,72.4,4,27.86,3.08,9.03,0.0089,0.003,,,1,
5/28/24,MK,Spring,5,4,11.098,1.246,,,58,307,333,164,0.00265,97.8,3.6,22.38,2.18,10.25,0.0118,0.005,,,1,
5/28/24,MK,Spring,6,4,11.601,1.19,,,58,250,251,142,0.00218,36.6,27.7,22.21,2.1,10.56,0.0098,0.002,,,1,
5/28/24,MK,Spring,1,5,17.532,3.088,,,58,429,285,161,0.00145,68.8,3.1,33.51,3.73,8.99,0.0043,0.002,,,1,
5/28/24,MK,Spring,2,5,11.898,1.409,,,58,411,340,166,0.00257,105.2,4.7,24.1,2.4,10.06,0.0107,0.005,,,1,
5/28/24,MK,Spring,3,5,17.931,2.086,,,58,306,378,180,0.0029,153.2,6.8,23.08,2.21,10.46,0.0126,0.008,,,1,
5/28/24,MK,Spring,4,6,20.452,3.04,,,58,1203,410,235,0.00247,111.9,6.2,27.86,3.08,9.03,0.0089,0.005,,,1,
5/28/24,MK,Spring,5,6,11.098,1.246,,,58,1261,333,164,0.00265,137.3,7.3,22.38,2.18,10.25,0.0118,0.007,,,1,
5/28/24,MK,Spring,6,6,11.601,1.19,,,58,1055,251,142,0.00218,64.9,25.5,22.21,2.1,10.56,0.0098,0.004,,,1,
6/16/24,MK,Spring,1,1,7.547,0.753,,,77,0,61,49,0.00054,-9,18.2,21.52,1.18,18.26,0.0025,-0.001,,,1,
6/16/24,MK,Spring,2,1,5.902,0.596,,,77,0,149,91,0.00132,-21,33.8,22.92,1.57,14.59,0.0058,-0.001,,,1,
6/16/24,MK,Spring,3,1,14.478,1.74,,,77,0,252,122,0.00188,-22,2.2,26.57,2.28,11.64,0.0071,-0.001,,,1,
6/16/24,MK,Spring,4,2,13.195,1.531,,,77,38,292,135,0.00225,15,2.1,25.06,2.33,10.75,0.009,0.001,,,1,
6/16/24,MK,Spring,5,2,10.059,1.071,,,77,53,95,73,0.0008,4,8.2,22.23,1.28,17.35,0.0036,0,,,1,
6/16/24,MK,Spring,6,2,9.417,1.001,,,77,48,59,53,0.00049,-11,10.9,21.77,1.16,18.79,0.0023,-0.001,,,1,
6/16/24,MK,Spring,1,3,7.547,0.753,,,77,170,61,49,0.00054,-28,21.8,21.52,1.18,18.26,0.0025,-0.002,,,1,
6/16/24,MK,Spring,2,3,5.902,0.596,,,77,168,149,91,0.00132,12,29.5,22.92,1.57,14.59,0.0058,0.001,,,1,
6/16/24,MK,Spring,3,3,14.478,1.74,,,77,138,252,122,0.00188,73,1.4,26.57,2.28,11.64,0.0071,0.003,,,1,
6/16/24,MK,Spring,4,4,13.195,1.531,,,77,233,292,135,0.00225,74,3.4,25.06,2.33,10.75,0.009,0.004,,,1,
6/16/24,MK,Spring,5,4,10.059,1.071,,,77,293,95,73,0.0008,50,7.6,22.23,1.28,17.35,0.0036,0.003,,,1,
6/16/24,MK,Spring,6,4,9.417,1.001,,,77,234,59,53,0.00049,46,3.9,21.77,1.16,18.79,0.0023,0.003,,,1,
6/16/24,MK,Spring,1,5,7.547,0.753,,,77,737,61,49,0.00054,4,27.8,21.52,1.18,18.26,0.0025,0,,,1,
6/16/24,MK,Spring,2,5,5.902,0.596,,,77,657,149,91,0.00132,67,35.2,22.92,1.57,14.59,0.0058,0.004,,,1,
6/16/24,MK,Spring,3,5,14.478,1.74,,,77,495,252,122,0.00188,117,2.6,26.57,2.28,11.64,0.0071,0.005,,,1,
6/16/24,MK,Spring,4,6,13.195,1.531,,,77,1161,292,135,0.00225,110,3.3,25.06,2.33,10.75,0.009,0.005,,,1,
6/16/24,MK,Spring,5,6,10.059,1.071,,,77,1331,95,73,0.0008,51,7.3,22.23,1.28,17.35,0.0036,0.003,,,1,
6/16/24,MK,Spring,6,6,9.417,1.001,,,77,1206,59,53,0.00049,43,13.7,21.77,1.16,18.79,0.0023,0.002,,,1,
